date,type,rec,rep-num,rep-len,Total,pace,hr,temp
9/16/2015,I,1,4,800,3.2,6.17,,28
9/17/2015,E,,,,10,8.48,151,28
9/18/2015,T,5,2,2,4,7.05,,30
9/19/2015,E,,,,8,8.44,,33
9/20/2015,L,,,,12,9.31,136,29
9/21/2015,E,,,,10.5,9.15,138,28
9/22/2015,E,,,,11,9.14,136,27
9/23/2015,I,1,6,800,4.8,6.11,168,28
9/24/2015,E,,,,11,9.13,137,28
9/25/2015,M,,,,5,7.18,161,31
9/26/2015,E,,,,8,9.43,,31
9/27/2015,L,,,,20,9.15,138,23
9/28/2015,E,,,,9,9.09,135,23
9/29/2015,E,,,,9,9.02,135,27
9/30/2015,I,1.5,5,1200,6,6.21,168,29
10/1/2015,,,,,,,,
10/2/2015,T,5,3,2,6,6.59,161,27
10/3/2015,E,,,,10,9.01,,28
10/4/2015,L,,,,17,9.24,138,27
10/5/2015,E,,,,11,8.56,137,25
10/6/2015,M,,,,6,7.1,161,27
10/7/2015,E,,,,12,8.49,136,26
10/8/2015,E,,,,8,8.44,134,28
10/9/2015,E,,,,4,8.59,,30
10/10/2015,,,,,,,,
10/11/2015,E,,,,8,9.32,132,24
10/12/2015,E,,,,11,9,138,26
10/13/2015,E,,,,7.5,8.44,134,25
10/14/2015,M,,,,8,6.57,162,24
10/15/2015,E,,,,11,8.53,137,23
10/16/2015,H,,,,4,,,32
10/17/2015,E,,,,9,8.53,,27
10/18/2015,L,,,,20,8.49,138,21
10/19/2015,E,,,,11,8.31,138,19
10/20/2015,M,,,,8,7.01,168,23
10/21/2015,E,,,,12,8.54,139,23
10/22/2015,H,,4,400,1.8,,,28
10/23/2015,E,,,,10,9.04,,26
10/24/2015,E,,,,8,8.49,,23
10/25/2015,L,,,,23,8.49,140,15
10/26/2015,,,,,,,,
10/27/2015,T,5,4,2,8,6.47,161,23
10/28/2015,,,,,,,,
10/29/2015,E,,,,8,8.37,137,22
10/30/2015,H,,8,400,2,,,24
10/31/2015,E,,,,11,8.4,,23
11/1/2015,L,,,,15,8.43,137,19
11/2/2015,E,,,,9,8.48,133,20
11/3/2015,M,,,,10,6.55,167,20
11/4/2015,E,,,,12,8.56,137,22
11/5/2015,El,,,,6,,,24
11/6/2015,El,,,,6,,,25
11/7/2015,E,,,,8,8.33,,18
11/8/2015,L,,,,15,7.13,159,19
11/9/2015,E,,,,9,8.49,,19
11/10/2015,H,,4,400,1,,,23
11/11/2015,E,,,,15,8.58,137,25
11/12/2015,El,,,,6,,,
11/13/2015,Race,,,,4.7,6.25,,
11/14/2015,E,,,,10,,,
11/15/2015,E,,,,8,,,
11/16/2015,E,,,,8,,,
11/17/2015,,,,,,,,
11/18/2015,H,,8,400,2,,,
11/19/2015,E,,,,8,8.5,,19
11/20/2015,,,,,,,,
11/21/2015,,,,,,,,
11/22/2015,Race,,,,16,6.53,,4
11/23/2015,E,,,,8,8.25,135,12
11/24/2015,E,,,,8,8.36,136,16
11/25/2015,El,,,,3,,,
11/26/2015,Race,,,,5000,6.16,,20
11/27/2015,H,,4,400,1,,,23
11/28/2015,E,,,,8,8.34,135,10
11/29/2015,L,,,,24,8.55,139,10
11/30/2015,El,,,,4,9.18,,14
12/1/2015,E,,,,11,8.5,138,13
12/2/2015,I,,16,1000,16,6.21,162,13
12/3/2015,E,,,,11,8.46,137,13
